feature,Mkt-RF,SMB,HML,RMW,CMA,Alpha
persona_risk_tolerance,0.019535070471259408,0.03462411050914804,-0.0803296382849992,0.0009590864687998133,-0.020570806262101903,0.0007624251057356886
persona_time_horizon,-0.08410995497865376,-0.12649869595727303,0.20310134071636568,0.023078070259386213,0.08182618164006208,-0.0011590005260685777
persona_loss_aversion,0.0009805428970742038,-0.003462374494763672,0.007600600551841046,-0.0024907028765915333,0.0026691015594921407,0.0002024501513202527
persona_macro_sensitivity,-0.014897024942349343,-0.031833581857781165,0.08548107977087158,-0.005500955246040237,0.01833086200605324,-0.0007812869057980404
inflation,-0.001603938271544234,-0.00592298982587113,0.012022495183615416,-0.0013258513534291972,0.004029404901254544,7.962894944502904e-05
cycle,0.0066046493599676275,0.00647109496921732,-0.004551789667372068,-0.0041430831033046536,-0.004330232812576263,8.802718911455456e-05
unemployment,-0.007189933857698112,-0.0019035248354102013,-0.010699749384569704,0.007748995608828879,0.0014746272259554564,-0.0001303956606929092
monetary,0.009679925914422193,0.010994693087974877,-0.018113732680511935,-0.003920190489245804,-0.00660636302965615,0.0003292446687314429
stress,-0.00781491900451194,-0.004954020683340818,-0.0005205593840800682,0.0061973527005456065,0.0031856690990149333,-0.00019378562252420566
state_Expansion,0.0014360347975179277,-0.0025693218241510988,0.009586391526989441,-0.0031370567214157002,0.0017188729040997417,9.298390275959305e-05
state_Inflationary Tightening,-0.004556023099607683,-0.008577974751612248,0.012082743456374298,0.0008950641568267882,0.005941829134184565,7.716013177754885e-05
state_Neutral,0.005585421222372651,0.005928025842598043,-0.00010216049074303266,-0.004117432846711132,-0.004468175453587144,-8.647857702756257e-05
state_Recession,-0.004659339661119998,0.0013367134772617828,-0.01735413565369147,0.007095841890030608,-0.00040166281057505516,-2.2042566675823097e-05
